song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF
Lover,Taylor Swift,2019-08-31,19,0,19,1,1
MEGATRON,Nicki Minaj,2019-07-06,20,0,20,1,1
Drip,Cardi B Featuring Migos,2018-04-21,21,0,21,1,1
Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,2019-06-01,21,0,21,1,1
On The Road,Post Malone Featuring Meek Mill & Lil Baby,2019-09-21,22,0,22,1,1
Memories,Maroon 5,2019-10-05,22,0,22,1,1
I Do,Cardi B Featuring SZA,2018-04-21,23,0,23,1,1
Greatest,Eminem,2018-09-15,23,0,23,1,1
On God,Kanye West,2019-11-09,23,0,23,1,1
Esskeetit,Lil Pump,2018-04-28,24,0,24,1,1
Not Alike,Eminem Featuring Royce Da 5'9,2018-09-15,24,0,24,1,1
Imagine,Ariana Grande,2018-12-29,24,0,24,1,1
Ghostin,Ariana Grande,2019-02-23,25,0,25,1,1
Fine China,Future & Juice WRLD,2018-11-03,26,0,26,1,1
Middle Child,J. Cole,2019-02-02,26,0,26,1,1
Fake Smile,Ariana Grande,2019-02-23,26,0,26,1,1
Hot,Young Thug Featuring Gunna,2019-08-31,26,0,26,1,1
Lost In The Fire,Gesaffelstein & The Weeknd,2019-01-26,27,0,27,1,1
Look At Her Now.,Selena Gomez,2019-11-09,27,0,27,1,1
I Thought About Killing You,Kanye West,2018-06-16,28,0,28,1,1
Drip Too Hard,Lil Baby & Gunna,2018-09-29,28,0,28,1,1
I Forgot That You Existed,Taylor Swift,2019-09-07,28,0,28,1,1
How Do You Sleep?,Sam Smith,2019-08-03,29,0,29,1,1
On Me,Meek Mill Featuring Cardi B,2018-12-15,30,0,30,1,1
No Bystanders,Travis Scott,2018-08-18,31,0,31,1,1
Jaded,Drake,2018-07-14,32,0,32,1,1
Heartless,The Weeknd,2019-12-07,32,0,32,1,1
Motivation,Normani,2019-08-31,33,0,33,1,1
I'm Gonna Be,Post Malone,2019-09-21,33,0,33,1,1
Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,2019-11-09,33,0,33,1,1
Finesse,Bruno Mars & Cardi B,2018-01-13,35,0,35,1,1
Moonlight,XXXTENTACION,2018-03-31,35,0,35,1,1
I Was Never There,The Weeknd Featuring Gesaffelstein,2018-04-14,35,0,35,1,1
Omerta,Drake,2019-06-29,35,0,35,1,1
Narcos,Migos,2018-02-10,36,0,36,1,1
No Mistakes,Kanye West,2018-06-16,36,0,36,1,1
Is There More,Drake,2018-07-14,36,0,36,1,1
Famous,Lil Wayne Featuring Reginae Carter,2018-10-13,36,0,36,1,1
I'll Never Love Again,Lady Gaga,2018-10-20,36,0,36,1,1
God Is,Kanye West,2019-11-09,36,0,36,1,1
Natural,Imagine Dragons,2018-08-04,37,0,37,1,1
Get Up 10,Cardi B,2018-04-21,38,0,38,1,1
New Patek,Lil Uzi Vert,2018-09-29,38,0,38,1,1
Keanu Reeves,Logic,2019-02-02,38,0,38,1,1
In My Head,Ariana Grande,2019-02-23,38,0,38,1,1
Normal,Eminem,2018-09-15,39,0,39,1,1
Dope N****z,Lil Wayne Featuring Snoop Dogg,2018-10-13,39,0,39,1,1
I,Lil Skies,2019-03-16,39,0,39,1,1
Gold Roses,Rick Ross Featuring Drake,2019-08-10,39,0,39,1,1
Hittas,Lil Wayne,2018-10-13,59,0,59,1,1
KIKA,6ix9ine Featuring Tory Lanez,2018-12-08,59,0,59,1,1
God's Country,Blake Shelton,2019-04-13,59,0,59,1,1
Isis,Joyner Lucas Featuring Logic,2019-06-08,59,0,59,1,1
Jumpsuit,twenty one pilots,2018-07-21,60,0,60,1,1
I Might Need Security,Chance The Rapper,2018-08-04,60,0,60,1,1
Ganja Burns,Nicki Minaj,2018-08-25,60,0,60,1,1
Good Form,Nicki Minaj Featuring Lil Wayne,2018-12-15,60,0,60,1,1
How About Now,Drake,2019-08-17,60,0,60,1,1
Just How It Is,Young Thug,2019-08-31,60,0,60,1,1
