song,performer,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Love Me,Lil Tecca,97.0,0.0,97.0,1.0,1.0,4e0FYxSROat25pH16zMTZI,0.7190000000000001,0.5379999999999999,11.0,-6.897,0.0,0.28,0.632,0.0,0.135,0.8029999999999999,204.132,117013.0,4.0
More Than My Hometown,Morgan Wallen,49.0,0.0,0.0,0.0,1.0,5OELUCYgOHKFAvCERnAvfS,0.62,0.8690000000000001,6.0,-5.479,1.0,0.0462,0.615,0.0,0.131,0.597,126.019,216573.0,4.0
Lust,Lil Skies,95.0,91.0,91.0,2.0,1.0,7oJrVhiTPZGBXWPwhxjy9S,0.718,0.767,9.0,-5.641,1.0,0.166,0.138,0.0,0.114,0.519,160.084,156000.0,4.0
Envy Me,Calboy,98.0,91.0,91.0,2.0,1.0,7rvyVWja33WG9R97oeJAjx,0.74,0.488,1.0,-7.664,0.0,0.27,0.234,0.0,0.241,0.584,149.042,120133.0,4.0
R.E.M,Ariana Grande,72.0,0.0,72.0,1.0,1.0,1xWH8zYtDeS9mW1JJG23VZ,0.831,0.485,10.0,-6.6770000000000005,0.0,0.15,0.375,1.47e-05,0.118,0.622,80.02199999999998,245667.0,4.0
Almost Slipped,Meek Mill,73.0,0.0,73.0,1.0,1.0,1bx4Jw8A7GQtImIQGccI6D,0.49,0.6509999999999999,8.0,-6.24,1.0,0.251,0.246,0.0,0.233,0.46,164.213,246793.0,4.0
PROLLY HEARD,DaBaby,73.0,0.0,73.0,1.0,1.0,0O7mJ0noFBLn8MMUJrFaF1,0.884,0.7829999999999999,1.0,-2.388,1.0,0.294,0.0744,0.0,0.12,0.929,124.052,143226.0,4.0
Testimony,Kodak Black,74.0,0.0,74.0,1.0,1.0,6Gg25EZRbQd4IHiJz2KSY0,0.8140000000000001,0.667,6.0,-4.785,0.0,0.36,0.0369,0.0,0.11,0.376,80.031,240000.0,4.0
Afterglow,Taylor Swift,75.0,0.0,75.0,1.0,1.0,1SymEzIT3H8UZfibCs3TYi,0.7559999999999999,0.449,9.0,-8.746,1.0,0.0344,0.13,0.0,0.114,0.399,111.011,223293.0,4.0
Boss Bitch,Doja Cat,100.0,0.0,0.0,0.0,1.0,78qd8dvwea0Gosb6Fe6j3k,0.7070000000000001,0.955,10.0,-4.593,0.0,0.222,0.127,0.0,0.202,0.575,125.989,134240.0,4.0
Hard To Forget,Sam Hunt,43.0,0.0,0.0,0.0,1.0,10xuH52YSXHWFwCaF1fsDd,0.6890000000000001,0.6890000000000001,4.0,-5.517,1.0,0.045,0.23,0.0,0.57,0.664,130.069,204760.0,4.0
Southside,Lil Baby,79.0,0.0,79.0,1.0,1.0,5lf3ajySox32qFvGEf2TFM,0.813,0.6459999999999999,4.0,-4.901,1.0,0.263,0.00271,0.0,0.191,0.375,77.518,173437.0,4.0
Rocket Ship,Future,79.0,0.0,79.0,1.0,1.0,4HfaOznGhHYWqPtpLYz2PB,0.953,0.38,8.0,-4.941,1.0,0.261,0.00957,0.0,0.127,0.128,133.941,116847.0,4.0
8,Billie Eilish,79.0,0.0,79.0,1.0,1.0,6X29iaaazwho3ab7GNue5r,0.735,0.235,3.0,-13.239,1.0,0.315,0.698,0.00604,0.107,0.462,62.44600000000001,173202.0,4.0
One Foot,WALK THE MOON,80.0,0.0,80.0,1.0,1.0,0iQ77tSa7ncj7zBPtVx6cU,0.5820000000000001,0.821,0.0,-4.8610000000000015,1.0,0.0365,0.0075400000000000016,2.1e-06,0.818,0.468,100.025,261373.0,4.0
Sanctuary,Joji,80.0,0.0,80.0,1.0,1.0,3xaugmCyXrVkrDTXbFkMW3,0.552,0.65,1.0,-7.199,1.0,0.128,0.422,0.000275,0.3720000000000001,0.316,167.78799999999995,180019.0,4.0
Out Of Luck,Lil Tecca,80.0,0.0,80.0,1.0,1.0,1ipyiYqvds0wcaFDTW6N4X,0.563,0.624,8.0,-8.271,1.0,0.287,0.0439,0.0,0.111,0.337,152.06799999999996,163267.0,4.0
Over It,Summer Walker,80.0,0.0,80.0,1.0,1.0,0csmcZqM3uTKfjxehw0Lw2,0.63,0.4370000000000001,4.0,-8.113,0.0,0.125,0.231,0.0,0.0885,0.455,131.996,131107.0,4.0
Booty,Blac Youngsta,81.0,0.0,81.0,1.0,1.0,0FbSpY8RPxTRxi1Fpj9Dz9,0.938,0.5489999999999999,1.0,-8.368,1.0,0.098,0.000831,0.000243,0.08199999999999999,0.412,144.005,160038.0,4.0
Take One,Kodak Black,81.0,0.0,81.0,1.0,1.0,1XJBDDpeuZaj5fvmwhdIMw,0.66,0.615,1.0,-7.2,1.0,0.47,0.114,0.0,0.315,0.501,174.03400000000005,165517.0,4.0
Butterfly Doors,Lil Pump,81.0,0.0,81.0,1.0,1.0,4NdXQlDTzxbOMkzJGWFtz3,0.925,0.397,5.0,-11.265,1.0,0.16899999999999998,0.0889,5.12e-05,0.14400000000000002,0.429,130.00799999999998,132923.0,4.0
Small Talk,Katy Perry,81.0,0.0,81.0,1.0,1.0,4NmE2ytXI8S2svTRSmEdpO,0.846,0.631,5.0,-5.5470000000000015,1.0,0.1,0.203,0.0,0.455,0.602,115.999,161963.0,4.0
Crush A Lot,Lil Baby,82.0,0.0,82.0,1.0,1.0,39RWYLt6hgk9BbhkDgaHW9,0.92,0.458,5.0,-5.643,0.0,0.315,0.0171,0.0,0.107,0.403,132.99200000000002,159755.0,4.0
Barbie Tingz,Nicki Minaj,83.0,0.0,83.0,1.0,1.0,2qsQ8eVDPmobZpvDxQCVQu,0.917,0.679,6.0,-6.082999999999998,1.0,0.266,0.0867,0.0,0.588,0.453,102.449,191700.0,4.0
Candy Paint,Post Malone,50.0,58.0,50.0,9.0,1.0,32lItqlMi4LBhb4k0BaSaC,0.664,0.667,4.0,-5.941,1.0,0.154,0.64,1.22e-06,0.0753,0.381,180.06400000000005,227533.0,4.0
