song,performer,chart_position,previous_position,peak,weeks_on_chart,hitTF,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Summer Games,Drake,28.0,0.0,28.0,1.0,1.0,4HG1YiGBseVKzjyKcmAJen,0.7759999999999999,0.48200000000000004,1.0,-11.269,1.0,0.0357,0.47700000000000004,0.0456,0.11,0.134,136.00799999999998,247893.0,4.0
Playing Games,Summer Walker,87.0,0.0,87.0,1.0,1.0,4hWgC5BV5M7EtTleKVXNxw,0.759,0.413,11.0,-7.282,0.0,0.0494,0.7,0.0,0.14,0.40299999999999997,115.89299999999999,143667.0,4.0
Close Friends,Lil Baby,28.0,0.0,28.0,1.0,1.0,3zIZ16zikLelTITnSxbpco,0.669,0.578,10.0,-4.669,0.0,0.374,0.0509,0.0,0.0796,0.7,158.969,203881.0,4.0
Sanguine Paradise,Lil Uzi Vert,28.0,0.0,28.0,1.0,1.0,3XiNC94b4Tq1xwv70sQJGN,0.7290000000000001,0.603,6.0,-6.736000000000001,0.0,0.0666,0.0948,0.0,0.113,0.207,134.972,243976.0,4.0
Cruel Summer,Taylor Swift,29.0,0.0,29.0,1.0,1.0,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.7020000000000001,9.0,-5.707000000000001,1.0,0.157,0.11699999999999999,2.0600000000000003e-05,0.105,0.564,169.99400000000003,178427.0,4.0
A Thousand Bad Times,Post Malone,29.0,0.0,29.0,1.0,1.0,2J0NXdHr6MYvKDSxB7k3V2,0.632,0.732,6.0,-3.498,1.0,0.092,0.105,1.15e-05,0.111,0.317,159.0,221173.0,4.0
Blue Tint,Drake,30.0,0.0,30.0,1.0,1.0,4n1bdaKwynQndm47x5HqWX,0.889,0.37200000000000005,7.0,-10.254000000000001,0.0,0.35700000000000004,0.013000000000000001,0.0,0.184,0.12300000000000001,133.997,162800.0,4.0
Don't Start Now,Dua Lipa,30.0,0.0,30.0,1.0,1.0,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.7929999999999999,11.0,-4.521,0.0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290.0,4.0
Baby Shark,Pinkfong,32.0,0.0,32.0,1.0,1.0,5ygDXis42ncn6kYG14lEVG,0.8290000000000001,0.8859999999999999,8.0,-1.746,1.0,0.11199999999999999,0.259,0.0,0.0559,0.777,115.056,80927.0,4.0
Fast,Juice WRLD,47.0,0.0,47.0,1.0,1.0,6MjNilJCVKJq0LfFvo5jWJ,0.623,0.608,1.0,-5.937,0.0,0.0434,0.426,0.0,0.105,0.263,84.98,208518.0,4.0
Self Care,Mac Miller,33.0,0.0,33.0,1.0,1.0,5bJ1DrEM4hNCafcDd1oxHx,0.52,0.5379999999999999,1.0,-8.109,1.0,0.20600000000000002,0.36700000000000005,0.00187,0.11900000000000001,0.177,141.894,345133.0,4.0
Adore You,Harry Styles,35.0,0.0,35.0,1.0,1.0,3jjujdWJ72nww5eGnfs2E7,0.6759999999999999,0.7709999999999999,8.0,-3.675,1.0,0.0483,0.0237,7.000000000000001e-06,0.102,0.569,99.04799999999999,207133.0,4.0
Lie,NF,97.0,0.0,97.0,1.0,1.0,07FkzikE6FuHIa8Ma7zJGc,0.513,0.6609999999999999,5.0,-6.419,1.0,0.24,0.161,0.0,0.24600000000000002,0.179,94.791,209213.0,4.0
Allergic,Post Malone,37.0,0.0,37.0,1.0,1.0,1YscJ7yVTlFxW3eF6pv5ba,0.665,0.741,0.0,-3.694,1.0,0.0787,0.154,3.02e-05,0.345,0.57,144.968,156893.0,4.0
In My Blood,Shawn Mendes,72.0,0.0,72.0,1.0,1.0,2QZ7WLBE8h2y1Y5Fb8RYbH,0.622,0.7120000000000001,5.0,-7.321000000000001,1.0,0.066,0.0573,0.0,0.13,0.48700000000000004,140.025,211360.0,4.0
Like It's Christmas,Jonas Brothers,72.0,0.0,72.0,1.0,1.0,1OjmlSFuzYflWjSMTCyTJv,0.725,0.5710000000000001,1.0,-6.007000000000001,1.0,0.102,0.0183,0.0,0.0519,0.61,146.035,200880.0,4.0
Level Up,Ciara,77.0,0.0,77.0,1.0,1.0,7ssEhls1ZYEGtBsoovkMSe,0.746,0.825,1.0,-4.666,1.0,0.16899999999999998,0.0142,0.0107,0.121,0.584,152.914,204150.0,4.0
