,song,performer,date,chart_position,previous_position,peak,weeks_on_chart,instance,songID,url
145,R.I.P Screw,Travis Scott,2018-08-18,26,0,26,1,1,R.I.P ScrewTravis Scott,https://www.billboard.com/charts/hot-100/2018-08-18
146,Dark Side Of The Moon,Lil Wayne Featuring Nicki Minaj,2018-10-13,26,0,26,1,1,Dark Side Of The MoonLil Wayne Featuring Nicki Minaj,https://www.billboard.com/charts/hot-100/2018-10-13
147,Beautiful People,Ed Sheeran Featuring Khalid,2019-07-13,26,0,26,1,1,Beautiful PeopleEd Sheeran Featuring Khalid,https://www.billboard.com/charts/hot-100/2019-07-13
148,Sandra's Rose,Drake,2018-07-14,27,0,27,1,1,Sandra's RoseDrake,https://www.billboard.com/charts/hot-100/2018-07-14
149,Stop Trying To Be God,Travis Scott,2018-08-18,27,0,27,1,1,Stop Trying To Be GodTravis Scott,https://www.billboard.com/charts/hot-100/2018-08-18
150,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-10-13,27,0,27,1,1,"Taki TakiDJ Snake Featuring Selena Gomez, Ozuna & Cardi B",https://www.billboard.com/charts/hot-100/2018-10-13
151,Bad Idea,Ariana Grande,2019-02-23,27,0,27,1,1,Bad IdeaAriana Grande,https://www.billboard.com/charts/hot-100/2019-02-23
152,Robbery,Juice WRLD,2019-03-02,27,0,27,1,1,RobberyJuice WRLD,https://www.billboard.com/charts/hot-100/2019-03-02
153,Cool,Jonas Brothers,2019-04-20,27,0,27,1,1,CoolJonas Brothers,https://www.billboard.com/charts/hot-100/2019-04-20
154,Ring,Cardi B Featuring Kehlani,2018-04-21,28,0,28,1,1,RingCardi B Featuring Kehlani,https://www.billboard.com/charts/hot-100/2018-04-21
155,Summer Games,Drake,2018-07-14,28,0,28,1,1,Summer GamesDrake,https://www.billboard.com/charts/hot-100/2018-07-14
156,Shallow,Lady Gaga & Bradley Cooper,2018-10-13,28,0,28,1,1,ShallowLady Gaga & Bradley Cooper,https://www.billboard.com/charts/hot-100/2018-10-13
157,Close Friends,Lil Baby,2018-10-20,28,0,28,1,1,Close FriendsLil Baby,https://www.billboard.com/charts/hot-100/2018-10-20
158,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,2018-11-10,28,0,28,1,1,Arms Around YouXXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,https://www.billboard.com/charts/hot-100/2018-11-10
159,Sanguine Paradise,Lil Uzi Vert,2019-04-27,28,0,28,1,1,Sanguine ParadiseLil Uzi Vert,https://www.billboard.com/charts/hot-100/2019-04-27
160,Takin' Shots,Post Malone,2018-05-12,29,0,29,1,1,Takin' ShotsPost Malone,https://www.billboard.com/charts/hot-100/2018-05-12
161,Cruel Summer,Taylor Swift,2019-09-07,29,0,29,1,1,Cruel SummerTaylor Swift,https://www.billboard.com/charts/hot-100/2019-09-07
162,A Thousand Bad Times,Post Malone,2019-09-21,29,0,29,1,1,A Thousand Bad TimesPost Malone,https://www.billboard.com/charts/hot-100/2019-09-21
163,Brackets,J. Cole,2018-05-05,30,0,30,1,1,BracketsJ. Cole,https://www.billboard.com/charts/hot-100/2018-05-05
164,Blue Tint,Drake,2018-07-14,30,0,30,1,1,Blue TintDrake,https://www.billboard.com/charts/hot-100/2018-07-14
165,BEBE,6ix9ine Featuring Anuel AA,2018-09-15,30,0,30,1,1,BEBE6ix9ine Featuring Anuel AA,https://www.billboard.com/charts/hot-100/2018-09-15
166,Don't Start Now,Dua Lipa,2019-11-16,30,0,30,1,1,Don't Start NowDua Lipa,https://www.billboard.com/charts/hot-100/2019-11-16
167,Baby Shark,Pinkfong,2019-01-12,32,0,32,1,1,Baby SharkPinkfong,https://www.billboard.com/charts/hot-100/2019-01-12
168,Bad Bad Bad,Young Thug Featuring Lil Baby,2019-08-31,32,0,32,1,1,Bad Bad BadYoung Thug Featuring Lil Baby,https://www.billboard.com/charts/hot-100/2019-08-31
169,Self Care,Mac Miller,2018-09-22,33,0,33,1,1,Self CareMac Miller,https://www.billboard.com/charts/hot-100/2018-09-22
170,Dancing With A Stranger,Sam Smith & Normani,2019-01-26,33,0,33,1,1,Dancing With A StrangerSam Smith & Normani,https://www.billboard.com/charts/hot-100/2019-01-26
171,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,2019-06-08,34,0,34,1,1,Cross MeEd Sheeran Featuring Chance The Rapper & PnB Rock,https://www.billboard.com/charts/hot-100/2019-06-08
