,song,performer,date,chart_position,previous_position,peak,weeks_on_chart,instance,songID,url
172,Staring At The Sun,Post Malone Featuring SZA,2019-09-21,34,0,34,1,1,Staring At The SunPost Malone Featuring SZA,https://www.billboard.com/charts/hot-100/2019-09-21
173,Roxanne,Arizona Zervas,2019-11-16,34,0,34,1,1,RoxanneArizona Zervas,https://www.billboard.com/charts/hot-100/2019-11-16
174,Adore You,Harry Styles,2019-12-21,35,0,35,1,1,Adore YouHarry Styles,https://www.billboard.com/charts/hot-100/2019-12-21
175,5% Tint,Travis Scott,2018-08-18,36,0,36,1,1,5% TintTravis Scott,https://www.billboard.com/charts/hot-100/2018-08-18
176,Rudolph The Red-Nosed Reindeer,Gene Autry,2018-12-15,36,0,36,1,1,Rudolph The Red-Nosed ReindeerGene Autry,https://www.billboard.com/charts/hot-100/2018-12-15
177,That's How You Feel,Drake,2018-07-14,37,0,37,1,1,That's How You FeelDrake,https://www.billboard.com/charts/hot-100/2018-07-14
178,A Lot,21 Savage,2019-01-05,37,0,37,1,1,A Lot21 Savage,https://www.billboard.com/charts/hot-100/2019-01-05
179,Antisocial,Ed Sheeran & Travis Scott,2019-07-27,37,0,37,1,1,AntisocialEd Sheeran & Travis Scott,https://www.billboard.com/charts/hot-100/2019-07-27
180,Allergic,Post Malone,2019-09-21,37,0,37,1,1,AllergicPost Malone,https://www.billboard.com/charts/hot-100/2019-09-21
181,Mixed Personalities,YNW Melly Featuring Kanye West,2019-02-02,71,0,71,1,1,Mixed PersonalitiesYNW Melly Featuring Kanye West,https://www.billboard.com/charts/hot-100/2019-02-02
182,Go Loko,"YG, Tyga & Jon Z",2019-05-18,71,0,71,1,1,"Go LokoYG, Tyga & Jon Z",https://www.billboard.com/charts/hot-100/2019-05-18
183,Friends,Marshmello & Anne-Marie,2018-02-24,72,0,72,1,1,FriendsMarshmello & Anne-Marie,https://www.billboard.com/charts/hot-100/2018-02-24
184,In My Blood,Shawn Mendes,2018-03-31,72,0,72,1,1,In My BloodShawn Mendes,https://www.billboard.com/charts/hot-100/2018-03-31
185,Hopeless Romantic,Wiz Khalifa Featuring Swae Lee,2018-07-28,72,0,72,1,1,Hopeless RomanticWiz Khalifa Featuring Swae Lee,https://www.billboard.com/charts/hot-100/2018-07-28
186,Jet Lag,Future & Juice WRLD Featuring Young Scooter,2018-11-03,72,0,72,1,1,Jet LagFuture & Juice WRLD Featuring Young Scooter,https://www.billboard.com/charts/hot-100/2018-11-03
187,Dreamcatcher,Metro Boomin Featuring Swae Lee & Travis Scott,2018-11-17,72,0,72,1,1,DreamcatcherMetro Boomin Featuring Swae Lee & Travis Scott,https://www.billboard.com/charts/hot-100/2018-11-17
188,Like It's Christmas,Jonas Brothers,2019-12-14,72,0,72,1,1,Like It's ChristmasJonas Brothers,https://www.billboard.com/charts/hot-100/2019-12-14
189,Me Niego,Reik Featuring Ozuna & Wisin,2018-05-26,77,0,77,1,1,Me NiegoReik Featuring Ozuna & Wisin,https://www.billboard.com/charts/hot-100/2018-05-26
190,Level Up,Ciara,2018-08-04,77,0,77,1,1,Level UpCiara,https://www.billboard.com/charts/hot-100/2018-08-04
191,My Bad,Khalid,2019-03-23,77,0,77,1,1,My BadKhalid,https://www.billboard.com/charts/hot-100/2019-03-23
192,False God,Taylor Swift,2019-09-07,77,0,77,1,1,False GodTaylor Swift,https://www.billboard.com/charts/hot-100/2019-09-07
193,Heat,Chris Brown Featuring Gunna,2019-09-14,77,0,77,1,1,HeatChris Brown Featuring Gunna,https://www.billboard.com/charts/hot-100/2019-09-14
194,Ocean,Martin Garrix Featuring Khalid,2018-06-30,78,0,78,1,1,OceanMartin Garrix Featuring Khalid,https://www.billboard.com/charts/hot-100/2018-06-30
195,Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2019-08-31,78,0,78,1,1,HeartlessDiplo Presents Thomas Wesley Featuring Morgan Wallen,https://www.billboard.com/charts/hot-100/2019-08-31
196,Let Me Know (I Wonder Why Freestyle),Juice WRLD,2019-12-28,78,0,78,1,1,Let Me Know (I Wonder Why Freestyle)Juice WRLD,https://www.billboard.com/charts/hot-100/2019-12-28
197,God's Plan,Drake,2018-02-03,1,0,1,1,1,God's PlanDrake,https://www.billboard.com/charts/hot-100/2018-02-03
198,Nice For What,Drake,2018-04-21,1,0,1,1,1,Nice For WhatDrake,https://www.billboard.com/charts/hot-100/2018-04-21
199,HIGHEST IN THE ROOM,Travis Scott,2019-10-19,1,0,1,1,1,HIGHEST IN THE ROOMTravis Scott,https://www.billboard.com/charts/hot-100/2019-10-19
200,Ghost Town,Kanye West Featuring PARTYNEXTDOOR,2018-06-16,16,0,16,1,1,Ghost TownKanye West Featuring PARTYNEXTDOOR,https://www.billboard.com/charts/hot-100/2018-06-16
201,Kamikaze,Eminem,2018-09-15,16,0,16,1,1,KamikazeEminem,https://www.billboard.com/charts/hot-100/2018-09-15
202,Enemies,Post Malone Featuring DaBaby,2019-09-21,16,0,16,1,1,EnemiesPost Malone Featuring DaBaby,https://www.billboard.com/charts/hot-100/2019-09-21
203,NASA,Ariana Grande,2019-02-23,17,0,17,1,1,NASAAriana Grande,https://www.billboard.com/charts/hot-100/2019-02-23
204,Earth,Lil Dicky,2019-05-04,17,0,17,1,1,EarthLil Dicky,https://www.billboard.com/charts/hot-100/2019-05-04
205,INTRO,DaBaby,2019-10-05,17,0,17,1,1,INTRODaBaby,https://www.billboard.com/charts/hot-100/2019-10-05
206,Lights Up,Harry Styles,2019-10-26,17,0,17,1,1,Lights UpHarry Styles,https://www.billboard.com/charts/hot-100/2019-10-26
207,I'm Upset,Drake,2018-06-09,19,0,19,1,1,I'm UpsetDrake,https://www.billboard.com/charts/hot-100/2018-06-09
208,Lover,Taylor Swift,2019-08-31,19,0,19,1,1,LoverTaylor Swift,https://www.billboard.com/charts/hot-100/2019-08-31
209,MEGATRON,Nicki Minaj,2019-07-06,20,0,20,1,1,MEGATRONNicki Minaj,https://www.billboard.com/charts/hot-100/2019-07-06
210,Drip,Cardi B Featuring Migos,2018-04-21,21,0,21,1,1,DripCardi B Featuring Migos,https://www.billboard.com/charts/hot-100/2018-04-21
211,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,2019-06-01,21,0,21,1,1,HigherDJ Khaled Featuring Nipsey Hussle & John Legend,https://www.billboard.com/charts/hot-100/2019-06-01
212,On The Road,Post Malone Featuring Meek Mill & Lil Baby,2019-09-21,22,0,22,1,1,On The RoadPost Malone Featuring Meek Mill & Lil Baby,https://www.billboard.com/charts/hot-100/2019-09-21
213,Memories,Maroon 5,2019-10-05,22,0,22,1,1,MemoriesMaroon 5,https://www.billboard.com/charts/hot-100/2019-10-05
214,I Do,Cardi B Featuring SZA,2018-04-21,23,0,23,1,1,I DoCardi B Featuring SZA,https://www.billboard.com/charts/hot-100/2018-04-21
215,Greatest,Eminem,2018-09-15,23,0,23,1,1,GreatestEminem,https://www.billboard.com/charts/hot-100/2018-09-15
216,On God,Kanye West,2019-11-09,23,0,23,1,1,On GodKanye West,https://www.billboard.com/charts/hot-100/2019-11-09
217,Esskeetit,Lil Pump,2018-04-28,24,0,24,1,1,EsskeetitLil Pump,https://www.billboard.com/charts/hot-100/2018-04-28
218,Not Alike,Eminem Featuring Royce Da 5'9,2018-09-15,24,0,24,1,1,Not AlikeEminem Featuring Royce Da 5'9,https://www.billboard.com/charts/hot-100/2018-09-15
219,Imagine,Ariana Grande,2018-12-29,24,0,24,1,1,ImagineAriana Grande,https://www.billboard.com/charts/hot-100/2018-12-29
220,Ghostin,Ariana Grande,2019-02-23,25,0,25,1,1,GhostinAriana Grande,https://www.billboard.com/charts/hot-100/2019-02-23
221,Fine China,Future & Juice WRLD,2018-11-03,26,0,26,1,1,Fine ChinaFuture & Juice WRLD,https://www.billboard.com/charts/hot-100/2018-11-03
222,Middle Child,J. Cole,2019-02-02,26,0,26,1,1,Middle ChildJ. Cole,https://www.billboard.com/charts/hot-100/2019-02-02
223,Fake Smile,Ariana Grande,2019-02-23,26,0,26,1,1,Fake SmileAriana Grande,https://www.billboard.com/charts/hot-100/2019-02-23
224,Hot,Young Thug Featuring Gunna,2019-08-31,26,0,26,1,1,HotYoung Thug Featuring Gunna,https://www.billboard.com/charts/hot-100/2019-08-31
225,Lost In The Fire,Gesaffelstein & The Weeknd,2019-01-26,27,0,27,1,1,Lost In The FireGesaffelstein & The Weeknd,https://www.billboard.com/charts/hot-100/2019-01-26
226,Look At Her Now.,Selena Gomez,2019-11-09,27,0,27,1,1,Look At Her Now.Selena Gomez,https://www.billboard.com/charts/hot-100/2019-11-09
227,I Thought About Killing You,Kanye West,2018-06-16,28,0,28,1,1,I Thought About Killing YouKanye West,https://www.billboard.com/charts/hot-100/2018-06-16
228,Drip Too Hard,Lil Baby & Gunna,2018-09-29,28,0,28,1,1,Drip Too HardLil Baby & Gunna,https://www.billboard.com/charts/hot-100/2018-09-29
229,I Forgot That You Existed,Taylor Swift,2019-09-07,28,0,28,1,1,I Forgot That You ExistedTaylor Swift,https://www.billboard.com/charts/hot-100/2019-09-07
230,How Do You Sleep?,Sam Smith,2019-08-03,29,0,29,1,1,How Do You Sleep?Sam Smith,https://www.billboard.com/charts/hot-100/2019-08-03
231,On Me,Meek Mill Featuring Cardi B,2018-12-15,30,0,30,1,1,On MeMeek Mill Featuring Cardi B,https://www.billboard.com/charts/hot-100/2018-12-15
232,No Bystanders,Travis Scott,2018-08-18,31,0,31,1,1,No BystandersTravis Scott,https://www.billboard.com/charts/hot-100/2018-08-18
233,Jaded,Drake,2018-07-14,32,0,32,1,1,JadedDrake,https://www.billboard.com/charts/hot-100/2018-07-14
234,Heartless,The Weeknd,2019-12-07,32,0,32,1,1,HeartlessThe Weeknd,https://www.billboard.com/charts/hot-100/2019-12-07
235,Motivation,Normani,2019-08-31,33,0,33,1,1,MotivationNormani,https://www.billboard.com/charts/hot-100/2019-08-31
236,I'm Gonna Be,Post Malone,2019-09-21,33,0,33,1,1,I'm Gonna BePost Malone,https://www.billboard.com/charts/hot-100/2019-09-21
237,Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,2019-11-09,33,0,33,1,1,Everything We NeedKanye West Featuring Ty Dolla $ign & Ant Clemons,https://www.billboard.com/charts/hot-100/2019-11-09
238,Finesse,Bruno Mars & Cardi B,2018-01-13,35,0,35,1,1,FinesseBruno Mars & Cardi B,https://www.billboard.com/charts/hot-100/2018-01-13
239,Moonlight,XXXTENTACION,2018-03-31,35,0,35,1,1,MoonlightXXXTENTACION,https://www.billboard.com/charts/hot-100/2018-03-31
240,I Was Never There,The Weeknd Featuring Gesaffelstein,2018-04-14,35,0,35,1,1,I Was Never ThereThe Weeknd Featuring Gesaffelstein,https://www.billboard.com/charts/hot-100/2018-04-14
241,Omerta,Drake,2019-06-29,35,0,35,1,1,OmertaDrake,https://www.billboard.com/charts/hot-100/2019-06-29
242,Narcos,Migos,2018-02-10,36,0,36,1,1,NarcosMigos,https://www.billboard.com/charts/hot-100/2018-02-10
243,No Mistakes,Kanye West,2018-06-16,36,0,36,1,1,No MistakesKanye West,https://www.billboard.com/charts/hot-100/2018-06-16
244,Is There More,Drake,2018-07-14,36,0,36,1,1,Is There MoreDrake,https://www.billboard.com/charts/hot-100/2018-07-14
245,Famous,Lil Wayne Featuring Reginae Carter,2018-10-13,36,0,36,1,1,FamousLil Wayne Featuring Reginae Carter,https://www.billboard.com/charts/hot-100/2018-10-13
246,I'll Never Love Again,Lady Gaga,2018-10-20,36,0,36,1,1,I'll Never Love AgainLady Gaga,https://www.billboard.com/charts/hot-100/2018-10-20
247,God Is,Kanye West,2019-11-09,36,0,36,1,1,God IsKanye West,https://www.billboard.com/charts/hot-100/2019-11-09
248,Natural,Imagine Dragons,2018-08-04,37,0,37,1,1,NaturalImagine Dragons,https://www.billboard.com/charts/hot-100/2018-08-04
249,Get Up 10,Cardi B,2018-04-21,38,0,38,1,1,Get Up 10Cardi B,https://www.billboard.com/charts/hot-100/2018-04-21
250,New Patek,Lil Uzi Vert,2018-09-29,38,0,38,1,1,New PatekLil Uzi Vert,https://www.billboard.com/charts/hot-100/2018-09-29
251,Keanu Reeves,Logic,2019-02-02,38,0,38,1,1,Keanu ReevesLogic,https://www.billboard.com/charts/hot-100/2019-02-02
252,In My Head,Ariana Grande,2019-02-23,38,0,38,1,1,In My HeadAriana Grande,https://www.billboard.com/charts/hot-100/2019-02-23
253,Normal,Eminem,2018-09-15,39,0,39,1,1,NormalEminem,https://www.billboard.com/charts/hot-100/2018-09-15
254,Dope N****z,Lil Wayne Featuring Snoop Dogg,2018-10-13,39,0,39,1,1,Dope N****zLil Wayne Featuring Snoop Dogg,https://www.billboard.com/charts/hot-100/2018-10-13
255,I,Lil Skies,2019-03-16,39,0,39,1,1,ILil Skies,https://www.billboard.com/charts/hot-100/2019-03-16
256,Gold Roses,Rick Ross Featuring Drake,2019-08-10,39,0,39,1,1,Gold RosesRick Ross Featuring Drake,https://www.billboard.com/charts/hot-100/2019-08-10
257,Hittas,Lil Wayne,2018-10-13,59,0,59,1,1,HittasLil Wayne,https://www.billboard.com/charts/hot-100/2018-10-13
258,KIKA,6ix9ine Featuring Tory Lanez,2018-12-08,59,0,59,1,1,KIKA6ix9ine Featuring Tory Lanez,https://www.billboard.com/charts/hot-100/2018-12-08
259,God's Country,Blake Shelton,2019-04-13,59,0,59,1,1,God's CountryBlake Shelton,https://www.billboard.com/charts/hot-100/2019-04-13
260,Isis,Joyner Lucas Featuring Logic,2019-06-08,59,0,59,1,1,IsisJoyner Lucas Featuring Logic,https://www.billboard.com/charts/hot-100/2019-06-08
261,Jumpsuit,twenty one pilots,2018-07-21,60,0,60,1,1,Jumpsuittwenty one pilots,https://www.billboard.com/charts/hot-100/2018-07-21
262,I Might Need Security,Chance The Rapper,2018-08-04,60,0,60,1,1,I Might Need SecurityChance The Rapper,https://www.billboard.com/charts/hot-100/2018-08-04
263,Ganja Burns,Nicki Minaj,2018-08-25,60,0,60,1,1,Ganja BurnsNicki Minaj,https://www.billboard.com/charts/hot-100/2018-08-25
264,Good Form,Nicki Minaj Featuring Lil Wayne,2018-12-15,60,0,60,1,1,Good FormNicki Minaj Featuring Lil Wayne,https://www.billboard.com/charts/hot-100/2018-12-15
265,How About Now,Drake,2019-08-17,60,0,60,1,1,How About NowDrake,https://www.billboard.com/charts/hot-100/2019-08-17
266,Just How It Is,Young Thug,2019-08-31,60,0,60,1,1,Just How It IsYoung Thug,https://www.billboard.com/charts/hot-100/2019-08-31
267,Hands On,Kanye West Featuring Fred Hammond,2019-11-09,60,0,60,1,1,Hands OnKanye West Featuring Fred Hammond,https://www.billboard.com/charts/hot-100/2019-11-09
268,I'll Kill You,Summer Walker Featuring Jhene Aiko,2019-10-19,61,0,61,1,1,I'll Kill YouSummer Walker Featuring Jhene Aiko,https://www.billboard.com/charts/hot-100/2019-10-19
269,Famous,Mason Ramsey,2018-05-12,62,0,62,1,1,FamousMason Ramsey,https://www.billboard.com/charts/hot-100/2018-05-12
270,"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,2018-06-23,62,0,62,1,1,"Freeee (Ghost Town, Pt. 2)KIDS SEE GHOSTS",https://www.billboard.com/charts/hot-100/2018-06-23
271,Everytime,Ariana Grande,2018-09-01,62,0,62,1,1,EverytimeAriana Grande,https://www.billboard.com/charts/hot-100/2018-09-01
272,Ilomilo,Billie Eilish,2019-04-13,62,0,62,1,1,IlomiloBillie Eilish,https://www.billboard.com/charts/hot-100/2019-04-13
273,London Boy,Taylor Swift,2019-09-07,62,0,62,1,1,London BoyTaylor Swift,https://www.billboard.com/charts/hot-100/2019-09-07
274,Falling,Harry Styles,2019-12-28,62,0,62,1,1,FallingHarry Styles,https://www.billboard.com/charts/hot-100/2019-12-28
275,NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,2018-03-24,63,0,63,1,1,NBAYoungboatLil Yachty Featuring NBA YoungBoy,https://www.billboard.com/charts/hot-100/2018-03-24
276,Karma,Queen Naija,2018-07-14,63,0,63,1,1,KarmaQueen Naija,https://www.billboard.com/charts/hot-100/2018-07-14
277,Happier,Marshmello & Bastille,2018-09-01,63,0,63,1,1,HappierMarshmello & Bastille,https://www.billboard.com/charts/hot-100/2018-09-01
278,Is That Alright?,Lady Gaga,2018-10-20,63,0,63,1,1,Is That Alright?Lady Gaga,https://www.billboard.com/charts/hot-100/2018-10-20
279,Nuketown,Ski Mask The Slump God Featuring Juice WRLD,2018-12-15,63,0,63,1,1,NuketownSki Mask The Slump God Featuring Juice WRLD,https://www.billboard.com/charts/hot-100/2018-12-15
280,Listen Before I Go,Billie Eilish,2019-04-13,63,0,63,1,1,Listen Before I GoBillie Eilish,https://www.billboard.com/charts/hot-100/2019-04-13
281,Higher Love,Kygo X Whitney Houston,2019-07-13,63,0,63,1,1,Higher LoveKygo X Whitney Houston,https://www.billboard.com/charts/hot-100/2019-07-13
282,Jesus Is Lord,Kanye West,2019-11-09,63,0,63,1,1,Jesus Is LordKanye West,https://www.billboard.com/charts/hot-100/2019-11-09
283,Loyal,PARTYNEXTDOOR Featuring Drake,2019-12-07,63,0,63,1,1,LoyalPARTYNEXTDOOR Featuring Drake,https://www.billboard.com/charts/hot-100/2019-12-07
284,Nico And The Niners,twenty one pilots,2018-07-28,79,0,79,1,1,Nico And The Ninerstwenty one pilots,https://www.billboard.com/charts/hot-100/2018-07-28
285,No More,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",2018-11-17,79,0,79,1,1,"No MoreMetro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",https://www.billboard.com/charts/hot-100/2018-11-17
286,Let Me Down Slowly,Alec Benjamin Featuring Alessia Cara,2019-01-26,79,0,79,1,1,Let Me Down SlowlyAlec Benjamin Featuring Alessia Cara,https://www.billboard.com/charts/hot-100/2019-01-26
287,Drunk Dialing...LODT,Summer Walker,2019-10-19,79,0,79,1,1,Drunk Dialing...LODTSummer Walker,https://www.billboard.com/charts/hot-100/2019-10-19
288,Love Me More,Trippie Redd,2019-11-16,79,0,79,1,1,Love Me MoreTrippie Redd,https://www.billboard.com/charts/hot-100/2019-11-16
289,Nobody But You,Blake Shelton Duet With Gwen Stefani,2019-12-28,79,0,79,1,1,Nobody But YouBlake Shelton Duet With Gwen Stefani,https://www.billboard.com/charts/hot-100/2019-12-28
290,My My My!,Troye Sivan,2018-01-27,80,0,80,1,1,My My My!Troye Sivan,https://www.billboard.com/charts/hot-100/2018-01-27
291,Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty,2018-05-19,80,0,80,1,1,Gucci Flip FlopsBhad Bhabie Featuring Lil Yachty,https://www.billboard.com/charts/hot-100/2018-05-19
292,Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,2018-06-02,80,0,80,1,1,Life Goes OnLil Baby Featuring Gunna & Lil Uzi Vert,https://www.billboard.com/charts/hot-100/2018-06-02
293,Hope,XXXTENTACION,2018-06-30,80,0,80,1,1,HopeXXXTENTACION,https://www.billboard.com/charts/hot-100/2018-06-30
294,Down To The Honkytonk,Jake Owen,2019-01-12,80,0,80,1,1,Down To The HonkytonkJake Owen,https://www.billboard.com/charts/hot-100/2019-01-12
295,Jumpin On A Jet,Future,2019-01-26,80,0,80,1,1,Jumpin On A JetFuture,https://www.billboard.com/charts/hot-100/2019-01-26
296,Huncho Jack,Huncho Jack,2018-01-06,87,0,87,1,1,Huncho JackHuncho Jack,https://www.billboard.com/charts/hot-100/2018-01-06
297,Emoji A Chain,Migos,2018-02-10,87,0,87,1,1,Emoji A ChainMigos,https://www.billboard.com/charts/hot-100/2018-02-10
298,Ocean,TK Kravitz Featuring Jacqueez,2018-07-28,87,0,87,1,1,OceanTK Kravitz Featuring Jacqueez,https://www.billboard.com/charts/hot-100/2018-07-28
299,Lean Wit Me,Juice WRLD,2018-08-18,87,0,87,1,1,Lean Wit MeJuice WRLD,https://www.billboard.com/charts/hot-100/2018-08-18
300,Goodnight N Go,Ariana Grande,2018-09-01,87,0,87,1,1,Goodnight N GoAriana Grande,https://www.billboard.com/charts/hot-100/2018-09-01
301,Girls Need Love,Summer Walker X Drake,2019-03-09,87,0,87,1,1,Girls Need LoveSummer Walker X Drake,https://www.billboard.com/charts/hot-100/2019-03-09
302,Call Out My Name,The Weeknd,2018-06-02,30,32,4,8,1,Call Out My NameThe Weeknd,https://www.billboard.com/charts/hot-100/2018-06-02
303,Bandit,Juice WRLD & YoungBoy Never Broke Again,2019-12-07,30,28,10,8,1,BanditJuice WRLD & YoungBoy Never Broke Again,https://www.billboard.com/charts/hot-100/2019-12-07
304,Sweet But Psycho,Ava Max,2019-02-16,30,32,30,8,1,Sweet But PsychoAva Max,https://www.billboard.com/charts/hot-100/2019-02-16
305,Act Up,City Girls,2019-05-04,30,36,30,8,1,Act UpCity Girls,https://www.billboard.com/charts/hot-100/2019-05-04
306,Sad!,XXXTENTACION,2018-05-05,31,22,7,8,1,Sad!XXXTENTACION,https://www.billboard.com/charts/hot-100/2018-05-05
307,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019-01-19,31,33,31,8,1,Close To MeEllie Goulding X Diplo Featuring Swae Lee,https://www.billboard.com/charts/hot-100/2019-01-19
308,Outside Today,YoungBoy Never Broke Again,2018-03-17,31,35,31,8,1,Outside TodayYoungBoy Never Broke Again,https://www.billboard.com/charts/hot-100/2018-03-17
309,Say Something,Justin Timberlake Featuring Chris Stapleton,2018-03-31,32,26,9,8,1,Say SomethingJustin Timberlake Featuring Chris Stapleton,https://www.billboard.com/charts/hot-100/2018-03-31
310,Baby,Lil Baby & DaBaby,2019-09-21,32,26,24,8,1,BabyLil Baby & DaBaby,https://www.billboard.com/charts/hot-100/2019-09-21
311,All Girls Are The Same,Juice WRLD,2018-07-14,60,42,41,8,1,All Girls Are The SameJuice WRLD,https://www.billboard.com/charts/hot-100/2018-07-14
312,Rubbin Off The Paint,YBN Nahmir,2018-01-13,60,59,46,8,1,Rubbin Off The PaintYBN Nahmir,https://www.billboard.com/charts/hot-100/2018-01-13
313,STOOPID,6ix9ine Featuring Bobby Shmurda,2018-12-08,61,85,25,8,1,STOOPID6ix9ine Featuring Bobby Shmurda,https://www.billboard.com/charts/hot-100/2018-12-08
314,223's,YNW Melly & 9lokknine,2019-11-09,61,45,34,8,1,223'sYNW Melly & 9lokknine,https://www.billboard.com/charts/hot-100/2019-11-09
315,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-01-27,64,0,64,1,1,"KEKE6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",https://www.billboard.com/charts/hot-100/2018-01-27
316,Lost In Japan,Shawn Mendes X Zedd,2018-04-07,64,0,64,1,1,Lost In JapanShawn Mendes X Zedd,https://www.billboard.com/charts/hot-100/2018-04-07
317,Head Above Water,Avril Lavigne,2018-10-06,64,0,64,1,1,Head Above WaterAvril Lavigne,https://www.billboard.com/charts/hot-100/2018-10-06
318,Mac 10,Trippie Redd Featuring Lil Baby & Lil Duke,2019-08-24,64,0,64,1,1,Mac 10Trippie Redd Featuring Lil Baby & Lil Duke,https://www.billboard.com/charts/hot-100/2019-08-24
319,Kinfolks,Sam Hunt,2019-10-26,64,0,64,1,1,KinfolksSam Hunt,https://www.billboard.com/charts/hot-100/2019-10-26
